:norssi_3817 	owl:sameAs 	w:person_p9859 	.
:norssi_3817 	owl:sameAs 	w:person_2301 	.
:norssi_3319 	owl:sameAs 	w:person_p511705 	.
:norssi_9868 	owl:sameAs 	w:person_4577 	.
:norssi_3776 	owl:sameAs 	w:person_p522675 	.
:norssi_2178 	owl:sameAs 	w:person_p16810 	.
:norssi_4983 	owl:sameAs 	w:person_p9407 	.
:norssi_3516 	owl:sameAs 	w:person_p511989 	.
:norssi_3488 	owl:sameAs 	w:person_p258200 	.
:norssi_2036 	owl:sameAs 	w:person_952 	.
:norssi_5349 	owl:sameAs 	w:person_p262233 	.
:norssi_5105 	owl:sameAs 	w:person_380 	.
:norssi_416 	owl:sameAs 	w:person_p9377 	.
:norssi_5349 	owl:sameAs 	w:person_p6129 	.
:norssi_416 	owl:sameAs 	w:person_p251190 	.
:norssi_5105 	owl:sameAs 	w:person_p250822 	.
:norssi_3130 	owl:sameAs 	w:person_p10155 	.
:norssi_1010 	owl:sameAs 	w:person_3500 	.
:norssi_2649 	owl:sameAs 	w:person_p8720 	.
:norssi_556 	owl:sameAs 	w:person_3593 	.
:norssi_3917 	owl:sameAs 	w:person_p9395 	.
:norssi_8482 	owl:sameAs 	w:person_p523753 	.
:norssi_2259 	owl:sameAs 	w:person_p8444 	.
:norssi_9780 	owl:sameAs 	w:person_p525184 	.
:norssi_5903 	owl:sameAs 	w:person_p8342 	.
:norssi_9780 	owl:sameAs 	w:person_p517629 	.
:norssi_5903 	owl:sameAs 	w:person_p535873 	.
:norssi_7813 	owl:sameAs 	w:person_p530509 	.
:norssi_3620 	owl:sameAs 	w:person_p10146 	.
:norssi_9813 	owl:sameAs 	w:person_p7585 	.
:norssi_647 	owl:sameAs 	w:person_2759 	.
:norssi_3293 	owl:sameAs 	w:person_p8081 	.
:norssi_255 	owl:sameAs 	w:person_6 	.
:norssi_1205 	owl:sameAs 	w:person_227 	.
:norssi_3463 	owl:sameAs 	w:person_172 	.
:norssi_2949 	owl:sameAs 	w:person_p503907 	.
:norssi_2836 	owl:sameAs 	w:person_p256759 	.
:norssi_2836 	owl:sameAs 	w:person_p282208 	.
:norssi_460 	owl:sameAs 	w:person_4389 	.
:norssi_3054 	owl:sameAs 	w:person_p251891 	.
:norssi_3558 	owl:sameAs 	w:person_p520354 	.
:norssi_1974 	owl:sameAs 	w:person_p534680 	.
:norssi_6177 	owl:sameAs 	w:person_p263005 	.
:norssi_6177 	owl:sameAs 	w:person_p512761 	.
:norssi_3107 	owl:sameAs 	w:person_p8957 	.
:norssi_10183 	owl:sameAs 	w:person_660 	.
:norssi_3893 	owl:sameAs 	w:person_p8274 	.
:norssi_1743 	owl:sameAs 	w:person_p509668 	.
:norssi_3865 	owl:sameAs 	w:person_p512263 	.
:norssi_1571 	owl:sameAs 	w:person_4510 	.
:norssi_669 	owl:sameAs 	w:person_2321 	.
:norssi_1508 	owl:sameAs 	w:person_p9930 	.
:norssi_7976 	owl:sameAs 	w:person_p536370 	.
:norssi_4535 	owl:sameAs 	w:person_p510588 	.
:norssi_3059 	owl:sameAs 	w:person_p511992 	.
:norssi_2993 	owl:sameAs 	w:person_p521851 	.
:norssi_2993 	owl:sameAs 	w:person_p506559 	.
:norssi_3907 	owl:sameAs 	w:person_p8796 	.
:norssi_3014 	owl:sameAs 	w:person_p509504 	.
:norssi_2516 	owl:sameAs 	w:person_p277589 	.
:norssi_798 	owl:sameAs 	w:person_3459 	.
:norssi_3650 	owl:sameAs 	w:person_p10507 	.
:norssi_2006 	owl:sameAs 	w:person_p8539 	.
:norssi_1680 	owl:sameAs 	w:person_4544 	.
:norssi_3064 	owl:sameAs 	w:person_1087 	.
:norssi_4028 	owl:sameAs 	w:person_p10553 	.
:norssi_4497 	owl:sameAs 	w:person_203 	.
:norssi_4094 	owl:sameAs 	w:person_p511531 	.
:norssi_3117 	owl:sameAs 	w:person_p511405 	.
:norssi_2196 	owl:sameAs 	w:person_p523033 	.
:norssi_2196 	owl:sameAs 	w:person_p262743 	.
:norssi_3838 	owl:sameAs 	w:person_p10376 	.
:norssi_3303 	owl:sameAs 	w:person_p8604 	.
:norssi_3455 	owl:sameAs 	w:person_p7780 	.
:norssi_3992 	owl:sameAs 	w:person_p7777 	.
:norssi_5544 	owl:sameAs 	w:person_p516041 	.
:norssi_4292 	owl:sameAs 	w:person_p10571 	.
:norssi_3283 	owl:sameAs 	w:person_p500807 	.
:norssi_3932 	owl:sameAs 	w:person_p10111 	.
:norssi_5652 	owl:sameAs 	w:person_p517490 	.
:norssi_5652 	owl:sameAs 	w:person_p10106 	.
:norssi_226 	owl:sameAs 	w:person_p8575 	.
:norssi_3024 	owl:sameAs 	w:person_p10574 	.
:norssi_3581 	owl:sameAs 	w:person_p8680 	.
:norssi_7915 	owl:sameAs 	w:person_p511178 	.
:norssi_5614 	owl:sameAs 	w:person_p505159 	.
:norssi_4018 	owl:sameAs 	w:person_p9127 	.
:norssi_3125 	owl:sameAs 	w:person_368 	.
:norssi_625 	owl:sameAs 	w:person_p262675 	.
:norssi_4543 	owl:sameAs 	w:person_p9961 	.
:norssi_3311 	owl:sameAs 	w:person_p511869 	.
:norssi_3337 	owl:sameAs 	w:person_p7037 	.
:norssi_1243 	owl:sameAs 	w:person_p509652 	.
:norssi_1331 	owl:sameAs 	w:person_p510704 	.
:norssi_2694 	owl:sameAs 	w:person_p510363 	.
:norssi_2078 	owl:sameAs 	w:person_p8256 	.
:norssi_3539 	owl:sameAs 	w:person_p511923 	.
:norssi_1041 	owl:sameAs 	w:person_p13223 	.
:norssi_5100 	owl:sameAs 	w:person_p536160 	.
:norssi_7443 	owl:sameAs 	w:person_p280381 	.
:norssi_7443 	owl:sameAs 	w:person_p279825 	.
:norssi_2532 	owl:sameAs 	w:person_p286003 	.
:norssi_2532 	owl:sameAs 	w:person_p15166 	.
:norssi_4401 	owl:sameAs 	w:person_p534281 	.
:norssi_3707 	owl:sameAs 	w:person_3484 	.
:norssi_1685 	owl:sameAs 	w:person_p10018 	.
:norssi_5164 	owl:sameAs 	w:person_p534715 	.
:norssi_2100 	owl:sameAs 	w:person_p525488 	.
:norssi_2100 	owl:sameAs 	w:person_p517225 	.
:norssi_9579 	owl:sameAs 	w:person_p256680 	.
:norssi_1999 	owl:sameAs 	w:person_p509503 	.
:norssi_7127 	owl:sameAs 	w:person_p8873 	.
:norssi_3426 	owl:sameAs 	w:person_p11388 	.
:norssi_4032 	owl:sameAs 	w:person_p511039 	.
:norssi_646 	owl:sameAs 	w:person_4521 	.
:norssi_2570 	owl:sameAs 	w:person_p503994 	.
:norssi_3314 	owl:sameAs 	w:person_p10190 	.
:norssi_1133 	owl:sameAs 	w:person_2550 	.
:norssi_749 	owl:sameAs 	w:person_1111 	.
:norssi_2705 	owl:sameAs 	w:person_p510492 	.
:norssi_2684 	owl:sameAs 	w:person_p511378 	.
:norssi_3058 	owl:sameAs 	w:person_p512011 	.
:norssi_3944 	owl:sameAs 	w:person_p10486 	.
:norssi_3402 	owl:sameAs 	w:person_214 	.
:norssi_4090 	owl:sameAs 	w:person_p9676 	.
:norssi_3625 	owl:sameAs 	w:person_p512498 	.
:norssi_7993 	owl:sameAs 	w:person_p515255 	.
:norssi_2567 	owl:sameAs 	w:person_p10480 	.
:norssi_1552 	owl:sameAs 	w:person_4507 	.
:norssi_2358 	owl:sameAs 	w:person_p9473 	.
:norssi_2514 	owl:sameAs 	w:person_p8327 	.
:norssi_2936 	owl:sameAs 	w:person_p511352 	.
:norssi_2850 	owl:sameAs 	w:person_p510690 	.
:norssi_2128 	owl:sameAs 	w:person_3454 	.
:norssi_5292 	owl:sameAs 	w:person_p514569 	.
:norssi_3687 	owl:sameAs 	w:person_p509481 	.
:norssi_3688 	owl:sameAs 	w:person_p8267 	.
:norssi_1885 	owl:sameAs 	w:person_724 	.
:norssi_8249 	owl:sameAs 	w:person_p531695 	.
:norssi_3572 	owl:sameAs 	w:person_p528131 	.
:norssi_2110 	owl:sameAs 	w:person_p510058 	.
:norssi_3438 	owl:sameAs 	w:person_p284392 	.
:norssi_5374 	owl:sameAs 	w:person_p268160 	.
:norssi_5374 	owl:sameAs 	w:person_3631 	.
:norssi_3771 	owl:sameAs 	w:person_p9963 	.
:norssi_3931 	owl:sameAs 	w:person_p11449 	.
:norssi_4807 	owl:sameAs 	w:person_p277153 	.
:norssi_4807 	owl:sameAs 	w:person_p273888 	.
:norssi_3497 	owl:sameAs 	w:person_p8712 	.
:norssi_2810 	owl:sameAs 	w:person_p509688 	.
:norssi_3468 	owl:sameAs 	w:person_p511789 	.
:norssi_3750 	owl:sameAs 	w:person_p203 	.
:norssi_3867 	owl:sameAs 	w:person_3101 	.
:norssi_1158 	owl:sameAs 	w:person_p524311 	.
:norssi_1158 	owl:sameAs 	w:person_p254183 	.
:norssi_9502 	owl:sameAs 	w:person_p753896 	.
:norssi_4998 	owl:sameAs 	w:person_p277164 	.
:norssi_4439 	owl:sameAs 	w:person_p14513 	.
:norssi_4201 	owl:sameAs 	w:person_p285343 	.
:norssi_4373 	owl:sameAs 	w:person_p503445 	.
:norssi_3170 	owl:sameAs 	w:person_p531894 	.
:norssi_1511 	owl:sameAs 	w:person_p285332 	.
:norssi_1594 	owl:sameAs 	w:person_p511885 	.
