:norssi_681 	owl:sameAs 	<http://ldf.fi/history/histo/p2538> 	.
:norssi_489 	owl:sameAs 	<http://ldf.fi/history/kb/p3027> 	.
:norssi_2033 	owl:sameAs 	<http://ldf.fi/history/kb/p3041> 	.
:norssi_2722 	owl:sameAs 	<http://ldf.fi/history/kb/p1195> 	.
:norssi_4629 	owl:sameAs 	<http://ldf.fi/history/kb/p134> 	.
:norssi_1242 	owl:sameAs 	<http://ldf.fi/history/kb/p942> 	.
:norssi_1127 	owl:sameAs 	<http://ldf.fi/history/kb/p1451> 	.
:norssi_6997 	owl:sameAs 	<http://ldf.fi/history/kb/p872> 	.
:norssi_5273 	owl:sameAs 	<http://ldf.fi/history/kb/p4311> 	.
:norssi_4981 	owl:sameAs 	<http://ldf.fi/history/kb/p3950> 	.
:norssi_645 	owl:sameAs 	<http://ldf.fi/history/histo/p4821> 	.
:norssi_1715 	owl:sameAs 	<http://ldf.fi/history/kb/p5158> 	.
:norssi_462 	owl:sameAs 	<http://ldf.fi/history/histo/p3653> 	.
:norssi_395 	owl:sameAs 	<http://ldf.fi/history/kb/p2137> 	.
:norssi_5423 	owl:sameAs 	<http://ldf.fi/history/kb/p1109> 	.
:norssi_2571 	owl:sameAs 	<http://ldf.fi/history/kb/p188> 	.
:norssi_2714 	owl:sameAs 	<http://ldf.fi/history/kb/p1230> 	.
:norssi_5510 	owl:sameAs 	<http://ldf.fi/history/kb/p4312> 	.
:norssi_8451 	owl:sameAs 	<http://ldf.fi/history/histo/p3586> 	.
:norssi_2266 	owl:sameAs 	<http://ldf.fi/history/kb/p3380> 	.
:norssi_255 	owl:sameAs 	<http://ldf.fi/history/kb/p50> 	.
:norssi_866 	owl:sameAs 	<http://ldf.fi/history/kb/p3616> 	.
:norssi_405 	owl:sameAs 	<http://ldf.fi/history/kb/p2042> 	.
:norssi_444 	owl:sameAs 	<http://ldf.fi/history/kb/p761> 	.
:norssi_344 	owl:sameAs 	<http://ldf.fi/history/kb/p687> 	.
:norssi_180 	owl:sameAs 	<http://ldf.fi/history/kb/p1973> 	.
:norssi_2723 	owl:sameAs 	<http://ldf.fi/history/kb/p815> 	.
:norssi_1087 	owl:sameAs 	<http://ldf.fi/history/kb/p3866> 	.
:norssi_1265 	owl:sameAs 	<http://ldf.fi/history/histo/p2174> 	.
:norssi_976 	owl:sameAs 	<http://ldf.fi/history/kb/p1576> 	.
:norssi_1374 	owl:sameAs 	<http://ldf.fi/history/histo/p2656> 	.
:norssi_4732 	owl:sameAs 	<http://ldf.fi/history/kb/p3620> 	.
:norssi_2025 	owl:sameAs 	<http://ldf.fi/history/kb/p5343> 	.
:norssi_954 	owl:sameAs 	<http://ldf.fi/history/histo/p4723> 	.
:norssi_2872 	owl:sameAs 	<http://ldf.fi/history/kb/p964> 	.
:norssi_1713 	owl:sameAs 	<http://ldf.fi/history/kb/p5078> 	.
:norssi_4600 	owl:sameAs 	<http://ldf.fi/history/kb/p3037> 	.
:norssi_3853 	owl:sameAs 	<http://ldf.fi/history/kb/p2804> 	.
:norssi_2286 	owl:sameAs 	<http://ldf.fi/history/kb/p87> 	.
:norssi_948 	owl:sameAs 	<http://ldf.fi/history/kb/p304> 	.
:norssi_1440 	owl:sameAs 	<http://ldf.fi/history/kb/p96> 	.
:norssi_1416 	owl:sameAs 	<http://ldf.fi/history/histo/p2946> 	.
:norssi_5829 	owl:sameAs 	<http://ldf.fi/history/histo/p3152> 	.
:norssi_1847 	owl:sameAs 	<http://ldf.fi/history/kb/p1243> 	.
:norssi_1290 	owl:sameAs 	<http://ldf.fi/history/kb/p1793> 	.
:norssi_282 	owl:sameAs 	<http://ldf.fi/history/kb/p3475> 	.
:norssi_5760 	owl:sameAs 	<http://ldf.fi/history/kb/p3081> 	.
:norssi_3113 	owl:sameAs 	<http://ldf.fi/history/kb/p3822> 	.
:norssi_433 	owl:sameAs 	<http://ldf.fi/history/histo/p3377> 	.
:norssi_3967 	owl:sameAs 	<http://ldf.fi/history/kb/p2334> 	.
:norssi_669 	owl:sameAs 	<http://ldf.fi/history/kb/p1247> 	.
:norssi_2459 	owl:sameAs 	<http://ldf.fi/history/kb/p1330> 	.
:norssi_2190 	owl:sameAs 	<http://ldf.fi/history/kb/p3573> 	.
:norssi_577 	owl:sameAs 	<http://ldf.fi/history/kb/p358> 	.
:norssi_110 	owl:sameAs 	<http://ldf.fi/history/kb/p3033> 	.
:norssi_4003 	owl:sameAs 	<http://ldf.fi/history/kb/p5513> 	.
:norssi_20 	owl:sameAs 	<http://ldf.fi/history/kb/p2625> 	.
:norssi_332 	owl:sameAs 	<http://ldf.fi/history/kb/p5257> 	.
:norssi_3697 	owl:sameAs 	<http://ldf.fi/history/kb/p552> 	.
:norssi_2221 	owl:sameAs 	<http://ldf.fi/history/kb/p454> 	.
:norssi_1957 	owl:sameAs 	<http://ldf.fi/history/kb/p2995> 	.
:norssi_1480 	owl:sameAs 	<http://ldf.fi/history/kb/p567> 	.
:norssi_730 	owl:sameAs 	<http://ldf.fi/history/kb/p45> 	.
:norssi_595 	owl:sameAs 	<http://ldf.fi/history/kb/p639> 	.
:norssi_640 	owl:sameAs 	<http://ldf.fi/history/kb/p153> 	.
:norssi_3152 	owl:sameAs 	<http://ldf.fi/history/kb/p421> 	.
