uri	wikilink	description
norssi_2783	https://fi.wikipedia.org/wiki?curid=1113374	"""Artto Einar August Granroth (12. maaliskuuta 1914 Helsinki – 15. maaliskuuta 1987) oli suomalainen sellotaiteilija. Hän opiskeli Helsingissä..."""
norssi_435	https://fi.wikipedia.org/wiki?curid=308670	"""Bertel Johan Sebastian Gripenberg (10. syyskuuta 1878 Pietari – 5. toukokuuta 1947 Sävsjö, Ruotsi) oli suomenruotsalainen runoilija ja aatelismies..."""
norssi_893	https://fi.wikipedia.org/wiki?curid=554741	"""Ensio Edvard Gabriel Groundstroem (1. huhtikuuta 1893 Längelmäki – 19. joulukuuta 1938) oli suomalainen jääkärikapteeni. Hänen vanhempansa olivat..."""
norssi_4415	https://fi.wikipedia.org/wiki?curid=911893	"""Armas Ralph Gustaf Gräsbeck (6. heinäkuuta 1930 Helsinki – 22. tammikuuta 2016 Espoo) oli suomalainen lääkäri ja kliininen biokemisti (laboratoriolääkäri..."""
norssi_1061	https://fi.wikipedia.org/wiki?curid=1281194	"""Hannu Gabriel Haahti, sukunimi vuoteen 1906 Hahnsson (3. marraskuuta 1895 Rymättylä – 29. kesäkuuta 1953) oli suomalainen lääkäri ja tuberkuloosiopin..."""
norssi_2173	https://fi.wikipedia.org/wiki?curid=717467	"""Usko Sakari Haahti (1909–1978) oli suomalainen everstiluutnantti, joka johti jatkosodan päätyttyä syksyllä 1944 salaista asekätkentätoimintaa..."""
norssi_4071	https://fi.wikipedia.org/wiki?curid=178119	"""Tuomas Jaakko Haapanen (s. 29. joulukuuta 1924 Helsinki) on suomalainen viulisti ja viulunsoiton opettaja. Hän on kapellimestari, musiikkitieteilijä..."""
norssi_3402	https://fi.wikipedia.org/wiki?curid=951044	"""Jorma Eliel Haapkylä (21. tammikuuta 1920 Hyeres, Ranska – 20. marraskuuta 2005) oli suomalainen upseeri, kontra-amiraali ja Suomen merivoimien..."""
norssi_4699	https://fi.wikipedia.org/wiki?curid=274679	"""Saulo Ismaro Haarla (21. marraskuuta 1930 – 4. lokakuuta 1971) oli suomalainen näyttelijä. Hänen vanhempansa olivat näyttelijä Tyyne Haarla ja..."""
norssi_7487	https://fi.wikipedia.org/wiki?curid=1180732	"""Teuri Heikki Ismaro Haarla (s. 9. helmikuuta 1955 Turku) on suomalainen ympäristötaiteilija.
Ite-taiteilijoita kartoittavan Erkki Pirtolan..."""
norssi_6138	https://fi.wikipedia.org/wiki?curid=1144094	"""Jaakko Armas Ensio Hakala (30. syyskuuta 1912 Pälkjärvi – 22. elokuuta 1964 Tampere) oli suomalainen pappi, kansanedustaja ja tamperelaisen Aamulehden..."""
norssi_7270	https://fi.wikipedia.org/wiki?curid=613288	"""Harri Pekka Hakamies (s. 1953 Helsingissä) on suomalainen folkloristiikan tutkija. Hän on opiskellut Helsingin yliopistossa pääaineena suomalainen..."""
norssi_1720	https://fi.wikipedia.org/wiki?curid=1068888	"""Yrjö Juho Hakulinen (21. tammikuuta 1902 Eno – 1974) oli suomalainen juristi. Hän oli Helsingin yliopiston dosentti 1938–1949, oikeusneuvos 1937..."""
norssi_2787	https://fi.wikipedia.org/wiki?curid=1069035	"""Erkki Heimo Aukusti Halme (11. syyskuuta 1912 Sortavala – 1. syyskuuta 1989 Helsinki) oli suomalainen kalastusbiologi. Hän oli vuodesta 1946..."""
norssi_3196	https://fi.wikipedia.org/wiki?curid=1069054	"""Armas Lauri Veikko Halme (19. lokakuuta 1916 Viipuri – 4. tammikuuta 1988 Turku) oli suomalainen taloustieteilijä. Hän oli Turun kauppakorkeakoulun..."""
norssi_1730	https://fi.wikipedia.org/wiki?curid=850707	"""Antti Halonen (3. huhtikuuta 1903 Tuusula – 22. tammikuuta 1985 Helsinki) oli suomalainen kirjailija.
Antti Halosen isä oli taidemaalari..."""
norssi_5519	https://fi.wikipedia.org/wiki?curid=1344548	"""Matti Jouko Johannes Haltia (s. 28. helmikuuta 1939) on suomalainen lääkäri. Hän on ollut vuodesta 1990 Helsingin yliopiston neuropatologian..."""
norssi_1064	https://fi.wikipedia.org/wiki?curid=1279185	"""Lauri Erik Hanstén (15. huhtikuuta 1896 Jyväskylä – 1967) oli suomalainen arkkitehti. Rakennushallituksessa työskennelleen Hansténin tunnetuin..."""
norssi_5751	https://fi.wikipedia.org/wiki?curid=471490	"""Pekka Jaakko Juhani Haukinen (14. syyskuuta 1940 Ylivieska – 1. lokakuuta 1966 Huittinen) oli suomalainen kustannusvirkailija, kriitikko ja kirjailija..."""
norssi_3851	https://fi.wikipedia.org/wiki?curid=999306	"""Aatto Ilmari Heikinheimo (vuoteen 1906 Heikel; 8. marraskuuta 1891 Tornio – 7. maaliskuuta 1966 Helsinki) oli suomalainen kirjallisuudentutkija..."""
norssi_5665	https://fi.wikipedia.org/wiki?curid=47702	"""Seppo Erkki Sakari Heikinheimo (3. kesäkuuta 1938 Helsinki – 26. toukokuuta 1997 Helsinki) oli musiikkitieteilijä, musiikkikriitikko, kirjailija..."""
norssi_3690	https://fi.wikipedia.org/wiki?curid=349578	"""Hannu Tapani Heikkilä (23. lokakuuta 1922 Helsinki – 10. syyskuuta 2003 Hollola) oli suomalainen oopperalaulaja. Äänialaltaan hän oli aluksi..."""
norssi_4700	https://fi.wikipedia.org/wiki?curid=1118213	"""Erkki Niilo Heinänen (s. 1931) on suomalainen maatalouskemisti. Hän oli Valtion maatalouskemian laitoksen johtaja professorin arvolla 1977–1993..."""
norssi_3896	https://fi.wikipedia.org/wiki?curid=1118376	"""Veijo Ismari Heiskanen (3. joulukuuta 1924 Viipuri – 5. helmikuuta 2015 Helsinki) oli suomalainen metsätieteilijä ja Metsäntutkimuslaitoksen..."""
norssi_5023	https://fi.wikipedia.org/wiki?curid=1118634	"""Kai Helmer Helenius (s. 1931) on suomalainen diplomaatti ja suurlähettiläs. Hän on koulutukseltaan diplomi-insinööri, ja toimi suurlähettiläänä..."""
norssi_6297	https://fi.wikipedia.org/wiki?curid=783561	"""Klaus Eeronpoika Helkama (s. 13. tammikuuta 1945 Tukholma) on suomalainen sosiaalipsykologi. Hänen tutkimuskohteitaan ovat sosialisaatio, moraaliajattelu..."""
