id	snimi	enimet	birth_place	birth_date	death_place	death_date					
http://ldf.fi/history/kb/p5713	Anttila	Reijo	Haapavesi	1932			
http://ldf.fi/history/kb/p2923	Anttila	Selma	Orimattila	1867	Helsinki	1942
http://ldf.fi/history/kb/p5131	Apajalahti	Samuli	Helsinki	1920			
http://ldf.fi/history/kb/p4384	Apolloff	Johan		1640, 1640	Viro, Tallinna	1706, 1706
http://ldf.fi/history/histo/p2645	Appelberg	Gustav Athniel (1800-luku)					
http://ldf.fi/history/kb/p3067	Appelberg	Karl	Kokkola	1853	Helsinki	1921
http://ldf.fi/history/kb/p575	Appelberg	Karl Adolf	Perniö	1851	Helsinki	1915
http://ldf.fi/history/kb/p16	Appelberg	Runar	Kymi, Kymi	1889, 1889	Latvia, Kuurinmaa	1917, 1917
http://ldf.fi/history/kb/p4765	Appelgren	Emilia	Pudasjärvi	1840	Helsinki	1935
http://ldf.fi/history/kb/p4371	Appelgren-Kivalo	Hjalmar	Hyrynsalmi	1853	Helsinki	1937
http://ldf.fi/history/kb/p6338	Apraksin	Feodor Matvejevitsh	Venäjä	1661	Venäjä	1728
http://ldf.fi/history/kb/p166	Ara	Ture	Ruotsi, Tukholma	1903, 1903		1979, 1979
http://ldf.fi/history/kb/p1313	Arajuuri	Johan Viktor	Tohmajärvi	1894	Helsinki	1961
http://ldf.fi/history/kb/p490	Arajärvi	Juhani	Urjala	1867	Vihti	1941
http://ldf.fi/history/kb/p2734	Arajärvi	Pentti	Helsinki	1948			
http://ldf.fi/history/kb/p590	Arajärvi	Terttu	Hausjärvi	1922			
http://ldf.fi/history/kb/p6141	Araktshejev	Aleksei Andrejevitsh	Venäjä, Venäjä, Venäjä, Tver, Tver, Tver	1769, 1769, 1769, 1769, 1769, 1769	Venäjä, Novgorod, Gruzino, Venäjä, Novgorod, Gruzino	1834, 1834, 1834, 1834, 1834, 1834
http://ldf.fi/history/kb/p4987	Arckenholtz	Johan	Helsinki, Helsinki	1695, 1695	Ruotsi, Tukholma	1777, 1777
http://ldf.fi/history/kb/p5359	Arctophilacius	Petrus Michaelis	Lohtaja	1570	Kalajoki	1647
http://ldf.fi/history/kb/p950	Arenius	Olaus	Ruotsi	1611	Maalahti	1682
http://ldf.fi/history/kb/p3523	Argelander	Friedrich	Preussi, Preussi, Liettua, Liettua	1799, 1799, 1799, 1799	Saksa, Bonn, Saksa, Bonn	1875, 1875, 1875, 1875
http://ldf.fi/history/kb/p2382	Argillander	Abraham	Kuopio	1722	Mäntyharju	1800
http://ldf.fi/history/kb/p4985	Argillander	Henrik Henrikinpoika		1705	Kuopio	1782
http://ldf.fi/history/kb/p2081	Arimo	Reino	Lammi	1908	Helsinki	1991
